generic-name,MachineLearningResearch-accession-number,type,unii,cas-number,iupac-name,smiles,Structure,Chembl,Average weight,Monoisotopic weight,Synonyms,Categories,Substituents
,,,,,,,,,,,,,
Lepirudin,,Biotech,Y43GF64R34,138068-37-8,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201666,,,"0    [Leu1, Thr2]-63-desulfohirudin
1                  Desulfatohirudin
2                 Hirudin variant-1
3                         Lepirudin
4             Lepirudin recombinant
5                         R-hirudin
Name: nan_synonyms, dtype: object","0     Amino Acids, Peptides, and Proteins
1                          Anticoagulants
2                   Antithrombin Proteins
3                           Antithrombins
4          Blood and Blood Forming Organs
5                   Cardiovascular Agents
6                       Enzyme Inhibitors
7                Fibrin Modulating Agents
8                      Hematologic Agents
9                                Peptides
10                    Protease Inhibitors
11                               Proteins
12             Serine Protease Inhibitors
13                                Serpins
14                    Thrombin Inhibitors
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Cetuximab,,Biotech,PQX0D8J21J,205923-56-4,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201577,,,"0      Cetuximab
1      Cétuximab
2    Cetuximabum
Name: nan_synonyms, dtype: object","0                   Amino Acids, Peptides, and Proteins
1                                            Antibodies
2                                Antibodies, Monoclonal
3                     Antibodies, Monoclonal, Humanized
4                                 Antineoplastic Agents
5                  Antineoplastic Agents, Immunological
6            Antineoplastic and Immunomodulating Agents
7                                        Blood Proteins
8                                  Cancer immunotherapy
9     EGFR (Epidermal Growth Factor Receptor) inhibi...
10          Epidermal Growth Factor Receptor Antagonist
11                                            Globulins
12                                     HER1 Antagonists
13                                      Immunoglobulins
14                                       Immunoproteins
15                                        Immunotherapy
16    MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUG...
17                       Narrow Therapeutic Index Drugs
18                                             Proteins
19                                      Serum Globulins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Dornase alfa,,Biotech,953A26OA1Y,143831-71-4,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201431,,,"0    Deoxyribonuclease (human clone 18-1 protein mo...
1                                         Dornasa alfa
2                                         Dornase alfa
3                            Dornase alfa, recombinant
4                                        Dornase alpha
5                Recombinant deoxyribonuclease (DNAse)
Name: nan_synonyms, dtype: object","0           Amino Acids, Peptides, and Proteins
1                   Cough and Cold Preparations
2     Decreased Respiratory Secretion Viscosity
3                            Deoxyribonucleases
4                        Endodeoxyribonucleases
5                                 Endonucleases
6                                       Enzymes
7                         Enzymes and Coenzymes
8                                     Esterases
9                                  Expectorants
10                                   Hydrolases
11                                     Proteins
12        Recombinant Human Deoxyribonuclease 1
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Denileukin diftitox,,Biotech,25E79B5CTM,173146-27-5,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201550,,,"0                                      Denileukin
1                             Denileukin diftitox
2    Interleukin-2/diptheria toxin fusion protein
Name: nan_synonyms, dtype: object","0                           ADP Ribose Transferases
1               Amino Acids, Peptides, and Proteins
2                             Antineoplastic Agents
3        Antineoplastic and Immunomodulating Agents
4                                  Bacterial Toxins
5                                Biological Factors
6                              Cancer immunotherapy
7                           CD25-directed Cytotoxin
8                                         Cytokines
9                                           Enzymes
10                            Enzymes and Coenzymes
11                             Glycosyltransferases
12                                    Immunotherapy
13    Intercellular Signaling Peptides and Proteins
14                                     Interleukins
15                                      Lymphokines
16                   Narrow Therapeutic Index Drugs
17                             Pentosyltransferases
18                                         Peptides
19                                         Proteins
20                             Recombinant Proteins
21                               Toxins, Biological
22                                     Transferases
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Etanercept,,Biotech,OP401G7OJC,185243-69-0,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201572,,,"0               Etanercept
1          etanercept-szzs
2          etanercept-ykro
3    Recombinant human TNF
4              rhu TNFR:Fc
5              rhu-TNFR:Fc
6       TNFR-Immunoadhesin
Name: nan_synonyms, dtype: object","0                       Agents reducing cytokine levels
1                   Amino Acids, Peptides, and Proteins
2                              Anti-Inflammatory Agents
3                                            Antibodies
4                                  Antirheumatic Agents
5                                   Biological Products
6          Biologics for Rheumatoid Arthritis Treatment
7                                       Dermatologicals
8                Disease-modifying Antirheumatic Agents
9                       Immunoglobulin Constant Regions
10                          Immunoglobulin Fc Fragments
11                             Immunoglobulin Fragments
12                              Immunoglobulin Isotypes
13                                  Immunologic Factors
14                                       Immunoproteins
15                             Immunosuppressive Agents
16                                    Membrane Proteins
17                                             Peptides
18                                             Proteins
19    Tumor necrosis factor alpha (TNF-alpha) inhibi...
20                       Tumor Necrosis Factor Blockers
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Peginterferon alfa-2a,,Biotech,Q46947FE7K,198153-51-4,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201560,,,"0                  PEG-IFN alfa-2A
1           PEG-Interferon alfa-2A
2            Peginterferon alfa-2a
3     Pegylated Interfeaon alfa-2A
4     Pegylated interferon alfa-2a
5    Pegylated interferon alpha-2a
6     Pegylated-interferon alfa 2a
Name: nan_synonyms, dtype: object","0                                Adjuvants, Immunologic
1                                              Alcohols
2                                      Alfa Interferons
3                   Amino Acids, Peptides, and Proteins
4                                 Anti-Infective Agents
5                                 Antineoplastic Agents
6            Antineoplastic and Immunomodulating Agents
7                                      Antiviral Agents
8                                    Biological Factors
9                     Cardiotoxic antineoplastic agents
10    Compounds used in a research, industrial, or h...
11                   Cytochrome P-450 CYP1A2 Inhibitors
12    Cytochrome P-450 CYP1A2 Inhibitors (strength u...
13                   Cytochrome P-450 Enzyme Inhibitors
14                                            Cytokines
15                                        Drug Carriers
16                                     Ethylene Glycols
17                                              Glycols
18                                   Hepatotoxic Agents
19                             Immunosuppressive Agents
20        Intercellular Signaling Peptides and Proteins
21                                     Interferon alpha
22                                    Interferon Type I
23                                          Interferons
24                            Macromolecular Substances
25                              Myelosuppressive Agents
26                       Narrow Therapeutic Index Drugs
27                                     Pegylated agents
28                                             Peptides
29                                             Polymers
30                                             Proteins
31                           Treatments for Hepatitis C
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Alteplase,,Biotech,1RXS4UE564,105857-23-6,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1201593,,,"0                                             Alteplasa
1                                             Alteplase
2                   Alteplase (genetical recombination)
3                                Alteplase, recombinant
4                                 Alteplase,recombinant
5     Plasminogen activator (human tissue-type prote...
6                                                 rt-PA
7                                                  t-PA
8                               t-plasminogen activator
9                          Tissue plasminogen activator
10               Tissue plasminogen activator alteplase
11            Tissue plasminogen activator, recombinant
12                                                  tPA
Name: nan_synonyms, dtype: object","0                             Agents causing angioedema
1                   Amino Acids, Peptides, and Proteins
2                                        Anticoagulants
3                        Blood and Blood Forming Organs
4                                        Blood Proteins
5                                 Cardiovascular Agents
6                                        Endopeptidases
7                                               Enzymes
8                                 Enzymes and Coenzymes
9                              Fibrin Modulating Agents
10                                  Fibrinolytic Agents
11                                   Hematologic Agents
12                                           Hydrolases
13                                    Ophthalmologicals
14                                   Peptide Hydrolases
15                               Plasminogen Activators
16                                             Proteins
17                                       Sensory Organs
18                                Serine Endopeptidases
19                                     Serine Proteases
20                         Tissue Plasminogen Activator
21    Tissue Plasminogen Activator, antagonists & in...
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Sermorelin,,Biotech,89243S03TE,86168-78-7,,,,,,,"0    Sermorelin
Name: nan_synonyms, dtype: object","0                   Amino Acids, Peptides, and Proteins
1        Anterior Pituitary Lobe Hormones and Analogues
2                                     Diagnostic Agents
3                      Growth Hormone-Releasing Hormone
4                                              Hormones
5     Hormones, Hormone Substitutes, and Hormone Ant...
6                                 Hypothalamic Hormones
7                                 Nerve Tissue Proteins
8                                         Neuropeptides
9                                      Peptide Hormones
10                                             Peptides
11    Pituitary and Hypothalamic Hormones and Analogues
12                 Pituitary Hormone-Releasing Hormones
13                   Somatropin and Somatropin Agonists
14    Systemic Hormonal Preparations, Excl. Sex Horm...
15                         Tests for Pituitary Function
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
Interferon alfa-n1,,Biotech,41697D4Z5C,74899-72-2,,,,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL2108509,,,"0           Interferon alfa-n1
1    Interferon alpha-n1 (INS)
Name: nan_synonyms, dtype: object","0                                Adjuvants, Immunologic
1                   Amino Acids, Peptides, and Proteins
2            Antineoplastic and Immunomodulating Agents
3                                      Antiviral Agents
4                                    Biological Factors
5                    Cytochrome P-450 CYP1A2 Inhibitors
6     Cytochrome P-450 CYP1A2 Inhibitors (strength u...
7                    Cytochrome P-450 Enzyme Inhibitors
8                                             Cytokines
9                              Immunosuppressive Agents
10        Intercellular Signaling Peptides and Proteins
11                                    Interferon Type I
12                                          Interferons
13                              Myelosuppressive Agents
14                                             Peptides
15                                             Proteins
Name: nan_cat, dtype: object","Series([], Name: nan_subs, dtype: object)"
